
2019-02-04 14:31:44 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:31:44 SEVERE: Deleting  oauthtokens failed: () 
2019-02-04 14:31:44 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:31:44 SEVERE: OAuth token insertion failed: () 
2019-02-04 14:38:26 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:38:26 SEVERE: Deleting  oauthtokens failed: () 
2019-02-04 14:38:26 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:38:26 SEVERE: OAuth token insertion failed: () 
2019-02-04 14:41:14 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'HAHAzohooauth'
2019-02-04 14:41:14 SEVERE: Deleting  oauthtokens failed: () 
2019-02-04 14:41:14 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'HAHAzohooauth'
2019-02-04 14:41:14 SEVERE: OAuth token insertion failed: () 
2019-03-21 11:29:49 INFO: Access Token has expired. Hence refreshing.
2019-03-21 12:00:36 INFO: Access Token has expired. Hence refreshing.
2019-03-21 12:00:37 INFO: Access Token has expired. Hence refreshing.
2019-03-21 12:00:38 INFO: Access Token has expired. Hence refreshing.
2019-03-22 15:10:41 INFO: Access Token has expired. Hence refreshing.
2019-04-05 10:27:45 INFO: Access Token has expired. Hence refreshing.
2019-04-05 10:32:27 INFO: Access Token has expired. Hence refreshing.
2019-04-05 10:32:55 INFO: Access Token has expired. Hence refreshing.
2019-04-05 10:33:58 INFO: Access Token has expired. Hence refreshing.
2019-04-05 10:34:47 INFO: Access Token has expired. Hence refreshing.
2019-04-05 10:35:14 INFO: Access Token has expired. Hence refreshing.
2019-05-03 10:11:20 INFO: Access Token has expired. Hence refreshing.
2019-05-03 13:37:11 INFO: Access Token has expired. Hence refreshing.
2019-05-03 13:54:52 INFO: Access Token has expired. Hence refreshing.
2019-05-03 13:57:18 INFO: Access Token has expired. Hence refreshing.
2019-05-03 14:18:11 INFO: Access Token has expired. Hence refreshing.
2019-05-03 14:25:28 INFO: Access Token has expired. Hence refreshing.
2019-05-03 15:31:08 INFO: Access Token has expired. Hence refreshing.
2019-05-03 16:31:42 INFO: Access Token has expired. Hence refreshing.
2019-05-03 17:31:43 INFO: Access Token has expired. Hence refreshing.
2019-05-03 18:35:01 INFO: Access Token has expired. Hence refreshing.
2019-05-03 19:35:02 INFO: Access Token has expired. Hence refreshing.
2019-05-05 18:09:55 INFO: Access Token has expired. Hence refreshing.
2019-05-06 08:16:39 INFO: Access Token has expired. Hence refreshing.
2019-05-06 09:42:57 INFO: Access Token has expired. Hence refreshing.
2019-05-06 10:43:15 INFO: Access Token has expired. Hence refreshing.
2019-05-06 12:53:37 INFO: Access Token has expired. Hence refreshing.
2019-05-06 15:05:50 INFO: Access Token has expired. Hence refreshing.
2019-05-06 16:13:51 INFO: Access Token has expired. Hence refreshing.
2019-05-06 17:14:07 INFO: Access Token has expired. Hence refreshing.
2019-05-06 18:33:39 INFO: Access Token has expired. Hence refreshing.
2019-05-07 09:16:27 INFO: Access Token has expired. Hence refreshing.
2019-05-07 10:18:26 INFO: Access Token has expired. Hence refreshing.
2019-05-07 11:18:27 INFO: Access Token has expired. Hence refreshing.
2019-05-07 12:18:28 INFO: Access Token has expired. Hence refreshing.
2019-05-07 13:18:29 INFO: Access Token has expired. Hence refreshing.
2019-05-07 14:18:30 INFO: Access Token has expired. Hence refreshing.
2019-05-07 15:18:31 INFO: Access Token has expired. Hence refreshing.
2019-05-07 16:18:32 INFO: Access Token has expired. Hence refreshing.
2019-05-07 17:18:32 INFO: Access Token has expired. Hence refreshing.
2019-05-07 18:23:29 INFO: Access Token has expired. Hence refreshing.
2019-05-07 20:42:30 INFO: Access Token has expired. Hence refreshing.
2019-05-08 00:17:45 INFO: Access Token has expired. Hence refreshing.
2019-05-08 02:59:54 INFO: Access Token has expired. Hence refreshing.
2019-05-08 08:50:23 INFO: Access Token has expired. Hence refreshing.
2019-05-08 10:08:27 INFO: Access Token has expired. Hence refreshing.
2019-05-08 11:13:42 INFO: Access Token has expired. Hence refreshing.
2019-05-08 12:15:01 INFO: Access Token has expired. Hence refreshing.
2019-05-08 13:16:05 INFO: Access Token has expired. Hence refreshing.
2019-05-08 14:16:16 INFO: Access Token has expired. Hence refreshing.
2019-05-08 15:18:49 INFO: Access Token has expired. Hence refreshing.
2019-05-08 16:28:22 INFO: Access Token has expired. Hence refreshing.
2019-05-08 17:53:46 INFO: Access Token has expired. Hence refreshing.
2019-05-08 19:29:08 INFO: Access Token has expired. Hence refreshing.
2019-05-08 20:42:30 INFO: Access Token has expired. Hence refreshing.
2019-05-08 21:47:20 INFO: Access Token has expired. Hence refreshing.
2019-05-09 01:40:34 INFO: Access Token has expired. Hence refreshing.
2019-05-09 09:28:52 INFO: Access Token has expired. Hence refreshing.
2019-05-09 10:28:57 INFO: Access Token has expired. Hence refreshing.
2019-05-09 11:46:28 INFO: Access Token has expired. Hence refreshing.
2019-05-09 12:58:51 INFO: Access Token has expired. Hence refreshing.
2019-05-09 14:07:41 INFO: Access Token has expired. Hence refreshing.
2019-05-09 15:10:07 INFO: Access Token has expired. Hence refreshing.
2019-05-09 16:24:19 INFO: Access Token has expired. Hence refreshing.
2019-05-09 17:26:34 INFO: Access Token has expired. Hence refreshing.
2019-05-09 18:26:49 INFO: Access Token has expired. Hence refreshing.
2019-05-09 21:27:06 INFO: Access Token has expired. Hence refreshing.
2019-05-09 22:42:16 INFO: Access Token has expired. Hence refreshing.
2019-05-10 09:32:42 INFO: Access Token has expired. Hence refreshing.
2019-05-10 10:32:43 INFO: Access Token has expired. Hence refreshing.
2019-05-10 10:33:27 INFO: Access Token has expired. Hence refreshing.
2019-05-10 11:34:20 INFO: Access Token has expired. Hence refreshing.
2019-05-10 12:35:28 INFO: Access Token has expired. Hence refreshing.
2019-05-10 13:39:03 INFO: Access Token has expired. Hence refreshing.
2019-05-10 14:39:04 INFO: Access Token has expired. Hence refreshing.
2019-05-10 15:39:45 INFO: Access Token has expired. Hence refreshing.
2019-05-10 17:00:11 INFO: Access Token has expired. Hence refreshing.
2019-05-10 18:17:59 INFO: Access Token has expired. Hence refreshing.
2019-05-10 19:29:09 INFO: Access Token has expired. Hence refreshing.
2019-05-11 02:51:36 INFO: Access Token has expired. Hence refreshing.
2019-05-11 09:04:50 INFO: Access Token has expired. Hence refreshing.
2019-05-11 16:06:06 INFO: Access Token has expired. Hence refreshing.
2019-05-11 23:25:22 INFO: Access Token has expired. Hence refreshing.
2019-05-13 09:14:56 INFO: Access Token has expired. Hence refreshing.
2019-05-13 10:21:01 INFO: Access Token has expired. Hence refreshing.
2019-05-13 11:21:16 INFO: Access Token has expired. Hence refreshing.
2019-05-13 12:21:30 INFO: Access Token has expired. Hence refreshing.
2019-05-13 13:27:59 INFO: Access Token has expired. Hence refreshing.
2019-05-13 14:47:34 INFO: Access Token has expired. Hence refreshing.
2019-05-13 15:59:36 INFO: Access Token has expired. Hence refreshing.
2019-05-13 16:59:38 INFO: Access Token has expired. Hence refreshing.
2019-05-13 18:01:38 INFO: Access Token has expired. Hence refreshing.
2019-05-13 20:14:06 INFO: Access Token has expired. Hence refreshing.
2019-05-13 21:54:23 INFO: Access Token has expired. Hence refreshing.
2019-05-14 00:04:40 INFO: Access Token has expired. Hence refreshing.
2019-05-14 08:42:00 INFO: Access Token has expired. Hence refreshing.
2019-05-14 09:42:04 INFO: Access Token has expired. Hence refreshing.
2019-05-14 10:42:47 INFO: Access Token has expired. Hence refreshing.
2019-05-14 11:54:55 INFO: Access Token has expired. Hence refreshing.
2019-05-14 13:01:29 INFO: Access Token has expired. Hence refreshing.
2019-05-14 14:07:17 INFO: Access Token has expired. Hence refreshing.
2019-05-14 15:16:04 INFO: Access Token has expired. Hence refreshing.
2019-05-14 16:20:28 INFO: Access Token has expired. Hence refreshing.
2019-05-14 17:26:08 INFO: Access Token has expired. Hence refreshing.
2019-05-15 08:58:08 INFO: Access Token has expired. Hence refreshing.
2019-05-15 10:47:38 INFO: Access Token has expired. Hence refreshing.
2019-05-15 11:54:17 INFO: Access Token has expired. Hence refreshing.
2019-05-15 12:54:18 INFO: Access Token has expired. Hence refreshing.
2019-05-15 14:02:05 INFO: Access Token has expired. Hence refreshing.
2019-05-15 15:11:00 INFO: Access Token has expired. Hence refreshing.
2019-05-15 16:11:01 INFO: Access Token has expired. Hence refreshing.
2019-05-15 17:36:28 INFO: Access Token has expired. Hence refreshing.
2019-05-15 18:38:10 INFO: Access Token has expired. Hence refreshing.
2019-05-15 21:20:20 INFO: Access Token has expired. Hence refreshing.
2019-05-15 23:05:52 INFO: Access Token has expired. Hence refreshing.
2019-05-16 08:42:48 INFO: Access Token has expired. Hence refreshing.
2019-05-16 10:38:44 INFO: Access Token has expired. Hence refreshing.
2019-05-16 11:41:50 INFO: Access Token has expired. Hence refreshing.
2019-05-16 12:41:51 INFO: Access Token has expired. Hence refreshing.
2019-05-16 13:55:16 INFO: Access Token has expired. Hence refreshing.
2019-05-16 15:01:29 INFO: Access Token has expired. Hence refreshing.
2019-05-16 16:24:04 INFO: Access Token has expired. Hence refreshing.
2019-05-16 17:25:30 INFO: Access Token has expired. Hence refreshing.
2019-05-16 18:26:29 INFO: Access Token has expired. Hence refreshing.
2019-05-16 22:39:43 INFO: Access Token has expired. Hence refreshing.
2019-05-17 00:44:56 INFO: Access Token has expired. Hence refreshing.
2019-05-17 07:53:58 INFO: Access Token has expired. Hence refreshing.
2019-05-17 09:03:12 INFO: Access Token has expired. Hence refreshing.
2019-05-17 10:21:15 INFO: Access Token has expired. Hence refreshing.
2019-05-17 11:21:16 INFO: Access Token has expired. Hence refreshing.
2019-05-17 12:22:16 INFO: Access Token has expired. Hence refreshing.
2019-05-17 13:22:17 INFO: Access Token has expired. Hence refreshing.
2019-05-17 14:23:47 INFO: Access Token has expired. Hence refreshing.
2019-05-17 15:25:09 INFO: Access Token has expired. Hence refreshing.
2019-05-17 16:26:52 INFO: Access Token has expired. Hence refreshing.
2019-05-17 19:49:06 INFO: Access Token has expired. Hence refreshing.
2019-05-18 04:00:02 INFO: Access Token has expired. Hence refreshing.
2019-05-18 07:05:39 INFO: Access Token has expired. Hence refreshing.
2019-05-18 10:41:32 INFO: Access Token has expired. Hence refreshing.
2019-05-18 12:29:56 INFO: Access Token has expired. Hence refreshing.
2019-05-18 14:33:11 INFO: Access Token has expired. Hence refreshing.
2019-05-18 15:41:23 INFO: Access Token has expired. Hence refreshing.
2019-05-18 16:58:06 INFO: Access Token has expired. Hence refreshing.
2019-05-18 19:26:12 INFO: Access Token has expired. Hence refreshing.
2019-05-19 00:15:33 INFO: Access Token has expired. Hence refreshing.
2019-05-19 04:00:03 INFO: Access Token has expired. Hence refreshing.
2019-05-19 05:22:46 INFO: Access Token has expired. Hence refreshing.
2019-05-19 14:04:06 INFO: Access Token has expired. Hence refreshing.
2019-05-19 18:42:19 INFO: Access Token has expired. Hence refreshing.
2019-05-20 04:00:02 INFO: Access Token has expired. Hence refreshing.
2019-05-20 09:35:26 INFO: Access Token has expired. Hence refreshing.
2019-05-20 10:38:13 INFO: Access Token has expired. Hence refreshing.
2019-05-20 11:50:18 INFO: Access Token has expired. Hence refreshing.
2019-05-20 12:55:21 INFO: Access Token has expired. Hence refreshing.
2019-05-20 13:56:12 INFO: Access Token has expired. Hence refreshing.
2019-05-20 14:56:23 INFO: Access Token has expired. Hence refreshing.
2019-05-20 15:56:37 INFO: Access Token has expired. Hence refreshing.
2019-05-20 17:03:57 INFO: Access Token has expired. Hence refreshing.
2019-05-20 18:54:27 INFO: Access Token has expired. Hence refreshing.
2019-05-21 04:00:02 INFO: Access Token has expired. Hence refreshing.
2019-05-21 09:23:09 INFO: Access Token has expired. Hence refreshing.
2019-05-21 10:25:11 INFO: Access Token has expired. Hence refreshing.
2019-05-21 11:25:12 INFO: Access Token has expired. Hence refreshing.
2019-05-21 12:31:51 INFO: Access Token has expired. Hence refreshing.
2019-05-21 13:32:18 INFO: Access Token has expired. Hence refreshing.
2019-05-21 14:56:48 INFO: Access Token has expired. Hence refreshing.
2019-05-21 15:59:35 INFO: Access Token has expired. Hence refreshing.
2019-05-21 17:15:41 INFO: Access Token has expired. Hence refreshing.
2019-05-21 18:22:48 INFO: Access Token has expired. Hence refreshing.
2019-05-22 04:00:02 INFO: Access Token has expired. Hence refreshing.
2019-05-22 06:35:20 INFO: Access Token has expired. Hence refreshing.
2019-05-22 09:03:59 INFO: Access Token has expired. Hence refreshing.
2019-05-22 10:18:34 INFO: Access Token has expired. Hence refreshing.
2019-05-22 11:18:43 INFO: Access Token has expired. Hence refreshing.
2019-05-22 12:19:15 INFO: Access Token has expired. Hence refreshing.
2019-05-22 13:19:34 INFO: Access Token has expired. Hence refreshing.
2019-05-22 14:20:03 INFO: Access Token has expired. Hence refreshing.
2019-05-22 15:25:54 INFO: Access Token has expired. Hence refreshing.
2019-05-22 16:39:44 INFO: Access Token has expired. Hence refreshing.
2019-05-22 18:09:18 INFO: Access Token has expired. Hence refreshing.
2019-05-22 21:10:28 INFO: Access Token has expired. Hence refreshing.
2019-05-23 01:11:45 INFO: Access Token has expired. Hence refreshing.
2019-05-23 08:19:02 INFO: Access Token has expired. Hence refreshing.
2019-05-23 09:31:29 INFO: Access Token has expired. Hence refreshing.
2019-05-23 10:52:00 INFO: Access Token has expired. Hence refreshing.
2019-05-23 11:52:35 INFO: Access Token has expired. Hence refreshing.
2019-05-23 12:53:00 INFO: Access Token has expired. Hence refreshing.
2019-05-23 13:53:06 INFO: Access Token has expired. Hence refreshing.
2019-05-23 14:54:11 INFO: Access Token has expired. Hence refreshing.
2019-05-23 15:56:24 INFO: Access Token has expired. Hence refreshing.
2019-05-23 17:03:10 INFO: Access Token has expired. Hence refreshing.
2019-05-23 18:11:32 INFO: Access Token has expired. Hence refreshing.
2019-05-23 23:18:39 INFO: Access Token has expired. Hence refreshing.
2019-05-24 02:39:56 INFO: Access Token has expired. Hence refreshing.
2019-05-24 08:18:10 INFO: Access Token has expired. Hence refreshing.
2019-05-24 09:18:36 INFO: Access Token has expired. Hence refreshing.
2019-05-24 10:18:45 INFO: Access Token has expired. Hence refreshing.
2019-05-24 11:18:51 INFO: Access Token has expired. Hence refreshing.
2019-05-24 12:31:23 INFO: Access Token has expired. Hence refreshing.
2019-05-24 13:32:04 INFO: Access Token has expired. Hence refreshing.
2019-05-24 14:33:47 INFO: Access Token has expired. Hence refreshing.
2019-05-24 16:02:09 INFO: Access Token has expired. Hence refreshing.
2019-05-24 18:15:58 INFO: Access Token has expired. Hence refreshing.
2019-05-24 19:20:04 INFO: Access Token has expired. Hence refreshing.
2019-05-25 02:45:24 INFO: Access Token has expired. Hence refreshing.
2019-05-25 11:08:41 INFO: Access Token has expired. Hence refreshing.
2019-05-25 21:45:02 INFO: Access Token has expired. Hence refreshing.
2019-05-25 22:55:09 INFO: Access Token has expired. Hence refreshing.
2019-05-26 00:00:02 INFO: Access Token has expired. Hence refreshing.
2019-05-26 09:41:22 INFO: Access Token has expired. Hence refreshing.
2019-05-26 15:35:38 INFO: Access Token has expired. Hence refreshing.
2019-05-26 17:20:47 INFO: Access Token has expired. Hence refreshing.
2019-05-26 21:16:01 INFO: Access Token has expired. Hence refreshing.
2019-05-26 23:30:10 INFO: Access Token has expired. Hence refreshing.
2019-05-27 05:00:02 INFO: Access Token has expired. Hence refreshing.
2019-05-27 09:21:30 INFO: Access Token has expired. Hence refreshing.
2019-05-27 10:44:31 INFO: Access Token has expired. Hence refreshing.
2019-05-27 11:58:46 INFO: Access Token has expired. Hence refreshing.
2019-05-27 13:03:31 INFO: Access Token has expired. Hence refreshing.
2019-05-27 14:03:47 INFO: Access Token has expired. Hence refreshing.
2019-05-27 15:17:41 INFO: Access Token has expired. Hence refreshing.
2019-05-27 16:28:30 INFO: Access Token has expired. Hence refreshing.
2019-05-27 18:16:24 INFO: Access Token has expired. Hence refreshing.
2019-05-27 19:24:06 INFO: Access Token has expired. Hence refreshing.
2019-05-27 21:49:08 INFO: Access Token has expired. Hence refreshing.
2019-05-28 04:00:02 INFO: Access Token has expired. Hence refreshing.
2019-05-28 09:11:28 INFO: Access Token has expired. Hence refreshing.
2019-05-28 10:24:16 INFO: Access Token has expired. Hence refreshing.
2019-05-28 11:32:26 INFO: Access Token has expired. Hence refreshing.
2019-05-28 12:32:43 INFO: Access Token has expired. Hence refreshing.
2019-05-28 13:35:22 INFO: Access Token has expired. Hence refreshing.
2019-05-28 14:40:43 INFO: Access Token has expired. Hence refreshing.
2019-05-28 15:41:04 INFO: Access Token has expired. Hence refreshing.
2019-05-28 17:27:01 INFO: Access Token has expired. Hence refreshing.
2019-05-28 18:50:46 INFO: Access Token has expired. Hence refreshing.
2019-05-29 09:52:27 INFO: Access Token has expired. Hence refreshing.
2019-05-29 11:42:35 INFO: Access Token has expired. Hence refreshing.
2019-05-29 13:01:34 INFO: Access Token has expired. Hence refreshing.
2019-05-29 14:15:36 INFO: Access Token has expired. Hence refreshing.
2019-05-29 15:34:16 INFO: Access Token has expired. Hence refreshing.
2019-05-29 16:41:44 INFO: Access Token has expired. Hence refreshing.
2019-05-29 18:09:27 INFO: Access Token has expired. Hence refreshing.
2019-05-29 21:49:04 INFO: Access Token has expired. Hence refreshing.
2019-05-30 00:00:01 INFO: Access Token has expired. Hence refreshing.
2019-05-30 07:10:23 INFO: Access Token has expired. Hence refreshing.
2019-05-30 10:10:33 INFO: Access Token has expired. Hence refreshing.
2019-05-30 11:10:36 INFO: Access Token has expired. Hence refreshing.
2019-05-30 12:23:23 INFO: Access Token has expired. Hence refreshing.
2019-05-30 14:15:15 INFO: Access Token has expired. Hence refreshing.
2019-05-30 15:17:19 INFO: Access Token has expired. Hence refreshing.
2019-05-30 16:17:21 INFO: Access Token has expired. Hence refreshing.
2019-05-30 18:53:04 INFO: Access Token has expired. Hence refreshing.
2019-05-31 09:12:25 INFO: Access Token has expired. Hence refreshing.
2019-05-31 10:18:11 INFO: Access Token has expired. Hence refreshing.
2019-05-31 11:18:29 INFO: Access Token has expired. Hence refreshing.
2019-05-31 12:21:03 INFO: Access Token has expired. Hence refreshing.
2019-05-31 13:29:38 INFO: Access Token has expired. Hence refreshing.
2019-05-31 14:47:11 INFO: Access Token has expired. Hence refreshing.
2019-05-31 15:47:23 INFO: Access Token has expired. Hence refreshing.
2019-05-31 16:47:44 INFO: Access Token has expired. Hence refreshing.
2019-05-31 17:48:13 INFO: Access Token has expired. Hence refreshing.
2019-06-01 15:31:30 INFO: Access Token has expired. Hence refreshing.
2019-06-01 20:36:49 INFO: Access Token has expired. Hence refreshing.
2019-06-02 00:00:02 INFO: Access Token has expired. Hence refreshing.
2019-06-02 08:14:12 INFO: Access Token has expired. Hence refreshing.
2019-06-02 09:57:20 INFO: Access Token has expired. Hence refreshing.
2019-06-02 19:19:42 INFO: Access Token has expired. Hence refreshing.
2019-06-03 00:00:02 INFO: Access Token has expired. Hence refreshing.
2019-06-03 10:00:34 INFO: Access Token has expired. Hence refreshing.
2019-06-03 11:02:19 INFO: Access Token has expired. Hence refreshing.
2019-06-03 12:06:01 INFO: Access Token has expired. Hence refreshing.
2019-06-03 13:16:18 INFO: Access Token has expired. Hence refreshing.
2019-06-03 14:21:32 INFO: Access Token has expired. Hence refreshing.
2019-06-03 15:22:44 INFO: Access Token has expired. Hence refreshing.
2019-06-03 16:25:53 INFO: Access Token has expired. Hence refreshing.
2019-06-03 17:26:21 INFO: Access Token has expired. Hence refreshing.
2019-06-03 18:48:37 INFO: Access Token has expired. Hence refreshing.
2019-06-03 22:51:06 INFO: Access Token has expired. Hence refreshing.
2019-06-04 02:00:02 INFO: Access Token has expired. Hence refreshing.
2019-06-04 09:18:41 INFO: Access Token has expired. Hence refreshing.
2019-06-04 10:30:53 INFO: Access Token has expired. Hence refreshing.
2019-06-04 11:35:50 INFO: Access Token has expired. Hence refreshing.
2019-06-04 12:42:57 INFO: Access Token has expired. Hence refreshing.
2019-06-04 13:48:19 INFO: Access Token has expired. Hence refreshing.
2019-06-04 15:12:49 INFO: Access Token has expired. Hence refreshing.
2019-06-04 16:17:07 INFO: Access Token has expired. Hence refreshing.
2019-06-04 17:30:12 INFO: Access Token has expired. Hence refreshing.
2019-06-04 18:32:41 INFO: Access Token has expired. Hence refreshing.
2019-06-04 21:32:23 INFO: Access Token has expired. Hence refreshing.
2019-06-05 08:23:51 INFO: Access Token has expired. Hence refreshing.
2019-06-05 09:30:55 INFO: Access Token has expired. Hence refreshing.
2019-06-05 10:38:02 INFO: Access Token has expired. Hence refreshing.
2019-06-05 11:38:29 INFO: Access Token has expired. Hence refreshing.
2019-06-05 13:02:14 INFO: Access Token has expired. Hence refreshing.
2019-06-05 14:16:21 INFO: Access Token has expired. Hence refreshing.
2019-06-05 15:29:14 INFO: Access Token has expired. Hence refreshing.
2019-06-05 17:28:02 INFO: Access Token has expired. Hence refreshing.
2019-06-05 18:54:25 INFO: Access Token has expired. Hence refreshing.
2019-06-05 21:23:35 INFO: Access Token has expired. Hence refreshing.
2019-06-06 08:27:05 INFO: Access Token has expired. Hence refreshing.
2019-06-06 10:20:54 INFO: Access Token has expired. Hence refreshing.
2019-06-06 13:01:21 INFO: Access Token has expired. Hence refreshing.
2019-06-06 14:15:29 INFO: Access Token has expired. Hence refreshing.
2019-06-06 15:18:48 INFO: Access Token has expired. Hence refreshing.
2019-06-06 16:18:53 INFO: Access Token has expired. Hence refreshing.
2019-06-06 17:19:10 INFO: Access Token has expired. Hence refreshing.
2019-06-06 18:28:29 INFO: Access Token has expired. Hence refreshing.
2019-06-06 19:40:31 INFO: Access Token has expired. Hence refreshing.
2019-06-07 09:15:36 INFO: Access Token has expired. Hence refreshing.
2019-06-07 10:16:27 INFO: Access Token has expired. Hence refreshing.
2019-06-07 11:18:13 INFO: Access Token has expired. Hence refreshing.
2019-06-07 12:22:35 INFO: Access Token has expired. Hence refreshing.
2019-06-07 13:24:35 INFO: Access Token has expired. Hence refreshing.
2019-06-07 14:28:54 INFO: Access Token has expired. Hence refreshing.
2019-06-07 15:43:07 INFO: Access Token has expired. Hence refreshing.
2019-06-07 16:50:59 INFO: Access Token has expired. Hence refreshing.
2019-06-08 08:29:43 INFO: Access Token has expired. Hence refreshing.
2019-06-08 09:45:50 INFO: Access Token has expired. Hence refreshing.
2019-06-09 15:17:47 INFO: Access Token has expired. Hence refreshing.
2019-06-09 17:01:56 INFO: Access Token has expired. Hence refreshing.
2019-06-09 18:30:04 INFO: Access Token has expired. Hence refreshing.
2019-06-10 00:00:02 INFO: Access Token has expired. Hence refreshing.
2019-06-10 09:07:17 INFO: Access Token has expired. Hence refreshing.
2019-06-10 10:09:17 INFO: Access Token has expired. Hence refreshing.
2019-06-10 11:16:42 INFO: Access Token has expired. Hence refreshing.
2019-06-10 12:26:00 INFO: Access Token has expired. Hence refreshing.
2019-06-10 13:43:56 INFO: Access Token has expired. Hence refreshing.
2019-06-10 14:45:03 INFO: Access Token has expired. Hence refreshing.
2019-06-10 16:03:25 INFO: Access Token has expired. Hence refreshing.
2019-06-10 18:57:14 INFO: Access Token has expired. Hence refreshing.
2019-06-10 21:48:24 INFO: Access Token has expired. Hence refreshing.
2019-06-11 05:00:02 INFO: Access Token has expired. Hence refreshing.
2019-06-11 06:47:41 INFO: Access Token has expired. Hence refreshing.
2019-06-11 09:53:14 INFO: Access Token has expired. Hence refreshing.
2019-06-11 11:08:37 INFO: Access Token has expired. Hence refreshing.
2019-06-11 12:13:09 INFO: Access Token has expired. Hence refreshing.
2019-06-11 13:16:16 INFO: Access Token has expired. Hence refreshing.
2019-06-11 15:17:03 INFO: Access Token has expired. Hence refreshing.
2019-06-11 16:20:24 INFO: Access Token has expired. Hence refreshing.
2019-06-11 17:20:39 INFO: Access Token has expired. Hence refreshing.
2019-06-12 03:00:01 INFO: Access Token has expired. Hence refreshing.
2019-06-12 09:41:01 INFO: Access Token has expired. Hence refreshing.
2019-06-12 10:52:10 INFO: Access Token has expired. Hence refreshing.
2019-06-12 11:55:01 INFO: Access Token has expired. Hence refreshing.
2019-06-12 12:55:02 INFO: Access Token has expired. Hence refreshing.
